;Códigodo_fundo;Setor;Preço_Atual;Liquidez_Diária;Dividendo;DividendYield;DY_(3M)Acumulado;DY_(6M)Acumulado;DY_(12M)Acumulado;DY_(3M)Média;DY_(6M)Média;DY_(12M)Média;DY_Ano;Variação_Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab._Patr.no_Período;Rentab._Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
122;JPPA11;Títulos e Val. Mob.;106.85;2134.0;1.65;1.56;5.22;10.44;18.05;1.74;1.74;1.50;13.19;4.29;5.91;23.88;60.926.897.69;100.88;106.0;1.75;-4.88;-3.21;7.12;0;0;0
123;VRTA11;Títulos e Val. Mob.;93.84;19094.0;1.10;1.17;3.56;7.08;13.94;1.19;1.18;1.16;9.45;-1.75;-0.60;-1.65;1.236.753.332.90;94.03;100.0;1.17;-1.53;-0.38;6.73;0;0;0
124;KNIP11;Títulos e Val. Mob.;91.91;64460.0;0.58;0.62;3.18;7.81;15.58;1.06;1.30;1.30;10.17;-3.40;-2.80;-0.43;7.610.256.433.21;94.80;97.0;1.10;-1.35;-0.27;7.21;0;0;0
125;RBHY11;Títulos e Val. Mob.;95.97;1447.0;1.38;1.41;4.44;8.47;16.92;1.48;1.41;1.41;10.82;-0.42;0.99;6.12;183.783.821.03;97.06;99.0;1.49;-0.72;0.76;9.58;0;0;0
126;RBHG11;Títulos e Val. Mob.;87.92;2577.0;1.23;1.39;4.56;8.50;16.17;1.52;1.42;1.35;10.83;1.83;3.25;10.74;164.896.924.63;95.45;92.0;1.36;-0.81;0.54;7.94;0;0;0
127;RMAI11;Lajes Corporativas;43.00;532.0;0.26;0.61;2.12;4.39;6.13;0.71;0.73;0.51;6.13;19.72;20.45;12.94;264.765.842.12;108.34;40.0;0.24;-0.10;0.14;1.37;23.44;0;1
128;XPHT11;Hotel;112.90;23.0;0.65;0.59;1.51;2.30;4.57;0.50;0.38;0.38;1.90;0.00;0.59;14.32;357.911.232.04;94.07;120.0;0.57;0.01;0.58;1.57;64.90;0;5
129;PLCR11;Híbrido;86.03;4653.0;1.19;1.36;4.17;7.93;14.75;1.39;1.32;1.23;10.29;5.54;6.98;9.45;194.176.239.76;92.06;93.0;1.29;-0.88;0.41;6.72;0;0;0
130;KFOF11;Títulos e Val. Mob.;87.43;45322.0;0.70;0.81;2.67;5.26;9.87;0.89;0.88;0.82;6.96;15.43;16.36;21.84;418.012.098.98;92.21;95.0;0.76;-0.67;0.09;3.22;0;0;0
131;KINP11;Residencial;14.66;1907.0;0.21;1.45;6.39;13.32;0.00;2.13;2.22;0.00;13.32;11.54;13.15;16.33;42.851.422.47;5.99;245.0;4.43;-6.81;-2.68;10.06;0;0;0
132;APTO11;Híbrido;9.05;4723.0;0.11;1.17;3.70;7.11;0.00;1.23;1.19;0.00;8.99;-4.29;-3.17;1.44;40.476.276.61;10.09;90.0;1.19;-0.29;0.89;10.03;0;0;0
133;MALL11;Shoppings;108.33;10683.0;0.77;0.71;2.16;4.30;8.45;0.72;0.72;0.70;5.77;8.79;9.55;19.75;813.345.477.18;107.58;101.0;0.70;-0.06;0.63;1.77;4.00;0;8
134;BRCO11;Logística;109.70;25063.0;0.70;0.64;2.08;4.00;7.76;0.69;0.67;0.65;5.28;10.10;10.81;18.17;1.758.736.318.15;119.00;92.0;0.55;0.06;0.61;3.59;0.00;0.00;10
135;VCJR11;Títulos e Val. Mob.;93.20;23896.0;0.70;0.77;3.13;7.57;15.55;1.04;1.26;1.30;9.95;-2.32;-1.57;2.51;1.377.026.269.06;93.52;100.0;1.07;-0.62;0.44;8.95;0;0;0
136;QAMI11;Híbrido;86.90;171.0;1.00;1.14;3.74;7.76;16.31;1.25;1.29;1.36;10.28;-0.01;1.13;-1.67;73.835.103.76;92.13;94.0;1.09;-0.88;0.19;9.23;0;0;0
137;JSAF11;Títulos e Val. Mob.;88.00;1206.0;0.93;1.05;3.35;6.66;0.00;1.12;1.11;0.00;8.84;10.75;11.91;17.00;151.169.267.42;96.10;92.0;0.97;0.31;1.28;5.29;0;0;0
138;XPSF11;Outros;7.74;58214.0;0.08;0.95;2.92;5.77;11.07;0.97;0.96;0.92;7.50;10.01;11.06;-89.28;368.560.312.64;8.51;91.0;0.83;-0.02;0.81;-89.80;0;0;0
139;BTWR11;Lajes Corporativas;105.49;236.0;0.38;0.36;0.80;2.02;2.30;0.27;0.34;0.19;2.30;0.00;0.36;0.88;90.161.015.95;111.41;95.0;0.32;0.14;0.46;5.16;12.00;0;1
140;VOTS11;Títulos e Val. Mob.;89.49;222.0;1.01;1.14;3.78;8.12;13.64;1.26;1.35;1.14;10.44;-1.20;-0.08;17.34;78.221.067.57;94.48;95.0;1.07;-0.06;1.01;6.35;0;0;0
141;VTLT11;Logística;94.50;3812.0;0.83;0.87;2.72;5.37;10.33;0.91;0.90;0.86;7.19;7.71;8.64;12.08;217.497.878.73;102.84;92.0;0.81;0.04;0.85;6.17;0.00;0.00;1
142;VGHF11;Títulos e Val. Mob.;9.85;302368.0;0.12;1.21;3.72;7.78;16.99;1.24;1.30;1.42;10.89;-0.10;1.11;7.42;674.715.085.21;9.26;106.0;1.30;0.31;1.61;8.19;0;0;0
143;RNDP11;Títulos e Val. Mob.;290.00;9.0;2.39;0.80;2.92;6.22;9.75;0.97;1.04;0.81;7.43;-8.97;-8.24;-46.15;41.478.009.45;385.91;75.0;0.80;0.06;0.86;-39.57;0;0;0
144;RBRD11;Híbrido;39.84;695.0;0.30;0.71;2.69;4.61;9.25;0.90;0.77;0.77;7.72;9.69;10.48;5.40;128.651.605.45;69.47;57.0;0.43;-0.53;-0.10;0.61;15.52;0;4
145;VIUR11;Títulos e Val. Mob.;8.11;42953.0;0.07;0.86;2.89;5.83;11.14;0.96;0.97;0.93;7.70;20.00;21.03;-88.07;254.972.381.80;9.46;86.0;0.76;-0.10;0.66;-89.68;0.00;0;6
146;VILG11;Logística;108.50;24914.0;0.72;0.67;2.18;4.29;8.28;0.73;0.71;0.69;5.66;15.31;16.08;11.23;1.700.239.939.88;113.37;96.0;0.64;0.00;0.63;3.91;0.00;0;16
147;VCRR11;Residencial;84.39;1125.0;0.67;0.83;2.72;5.45;10.67;0.91;0.91;0.89;7.21;15.80;16.75;12.30;239.629.500.71;119.81;70.0;0.56;0.06;0.62;4.14;0;0;0
148;BCIA11;Títulos e Val. Mob.;90.95;5872.0;0.74;0.81;2.60;5.14;9.74;0.87;0.86;0.81;6.69;10.50;11.39;12.76;403.720.083.63;108.55;84.0;0.68;5.90;6.62;9.91;0;0;0
149;BBGO11;Títulos e Val. Mob.;85.53;14923.0;0.75;0.86;2.72;4.64;0.00;0.91;0.77;0.00;5.09;2.10;2.98;5.41;394.157.372.88;98.41;87.0;0.76;0.28;1.04;6.66;0;0;0
150;BNFS11;Outros;122.90;839.0;1.48;1.23;3.69;7.10;13.12;1.23;1.18;1.09;9.13;2.90;4.17;3.88;69.455.272.66;99.22;124.0;1.48;0.05;1.54;7.06;0.00;0;18
151;FIIP11B;Logística;158.11;1185.0;1.35;0.80;2.53;4.94;9.53;0.84;0.82;0.79;6.50;13.02;13.92;10.29;172.744.337.51;186.32;85.0;0.72;0.09;0.82;-1.96;0.00;0;7
152;EDFO11B;Lajes Corporativas;196.88;6.0;1.68;0.81;2.52;4.69;8.64;0.84;0.78;0.72;6.03;8.79;9.68;2.09;45.703.432.14;193.66;102.0;0.87;0.94;1.82;5.04;7.10;0;1
153;CXCE11B;Outros;39.96;658.0;0.36;0.89;2.76;5.36;10.86;0.92;0.89;0.90;7.09;7.28;8.23;-5.61;111.425.979.36;65.05;61.0;0.55;0.08;0.63;-2.28;0.00;0;1
154;MFAI11;Híbrido;66.49;316.0;0.67;1.02;2.51;5.73;12.05;0.84;0.95;1.00;8.14;6.87;7.96;-5.30;22.677.027.07;73.33;91.0;0.70;3.46;4.18;-5.64;0;0;0
155;HBRH11;Híbrido;92.20;2872.0;0.66;0.74;2.30;4.84;10.74;0.77;0.81;0.90;6.59;5.95;6.73;5.02;313.204.217.59;112.98;82.0;0.58;-0.02;0.56;4.84;0;0;3
156;QIRI11;Títulos e Val. Mob.;78.04;39.0;0.66;0.86;2.85;5.44;9.60;0.95;0.91;0.80;7.00;6.81;7.72;-8.39;12.698.695.90;84.66;92.0;0.84;-1.27;-0.45;1.55;0;0;0
157;BLMO11;Lajes Corporativas;23999.00;1.0;37.45;0.16;0.35;0.54;0.00;0.12;0.09;0.00;0.56;-4.00;-3.85;-7.17;111.748.475.02;29.430.73;82.0;0.13;0.09;0.22;12.62;0.00;0;1
158;STRX11;Híbrido;0;0.0;0.71;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0;0.00;0.00;0.00;227.183.788.69;140.80;0;0.50;0.10;0.60;4.18;0;0;0
159;HGRU11;Híbrido;128.11;33929.0;0.82;0.64;2.34;4.47;8.40;0.78;0.75;0.70;5.81;7.10;7.79;18.03;2.176.483.482.74;118.25;108.0;0.69;-0.01;0.68;4.73;0.00;0.00;17
160;HGCR11;Títulos e Val. Mob.;104.40;32716.0;1.20;1.15;3.45;6.57;12.30;1.15;1.10;1.03;8.55;0.91;2.08;7.43;1.491.890.744.95;101.72;103.0;1.18;-0.78;0.39;8.04;0;0;0
161;BICR11;Títulos e Val. Mob.;99.90;3.0;0.82;0.82;1.97;4.72;8.42;0.66;0.79;0.70;6.01;-1.53;-0.73;13.05;50.361.097.03;100.72;99.0;0.81;0.27;1.09;7.24;0;0;0
162;BBFI11B;Lajes Corporativas;1965.00;111.0;26.31;1.31;4.33;8.40;15.80;1.44;1.40;1.32;10.52;12.51;13.98;-2.35;370.762.576.82;2.852.02;69.0;1.12;0.13;1.25;2.11;39.11;0;2
163;HGPO11;Lajes Corporativas;260.00;2413.0;1.60;0.61;1.72;3.29;6.62;0.57;0.55;0.55;4.32;4.03;4.66;5.99;470.128.332.27;268.18;97.0;0.56;-0.03;0.53;3.68;4.99;2.72;2
164;ITIT11;Títulos e Val. Mob.;77.84;1380.0;0.54;0.73;2.35;4.65;8.94;0.78;0.77;0.74;6.17;3.51;4.27;8.06;77.364.892.19;85.91;91.0;0.63;11.20;11.90;12.89;0;0;0
165;HGLG11;Logística;167.43;32805.0;1.10;0.64;3.30;5.31;9.65;1.10;0.88;0.80;6.61;2.44;3.09;8.28;3.430.789.490.17;146.26;114.0;0.75;-0.22;0.53;5.35;6.90;6.50;17
166;HAAA11;Lajes Corporativas;92.99;3.0;0.54;0.61;1.89;3.60;7.00;0.63;0.60;0.58;4.72;-1.53;-0.93;-3.06;310.890.883.83;89.98;103.0;0.60;-0.32;0.28;-1.05;17.00;0;1
167;RBVA11;Outros;98.70;6798.0;1.02;1.03;3.36;6.21;11.72;1.12;1.04;0.98;8.12;10.10;11.23;8.73;1.194.682.127.67;103.09;96.0;0.97;-0.10;0.87;6.68;0.70;0;72
168;HGFF11;Títulos e Val. Mob.;79.04;32314.0;0.65;0.81;2.58;5.11;9.70;0.86;0.85;0.81;6.69;12.26;13.16;13.21;249.656.530.68;87.18;91.0;0.75;-0.78;-0.04;2.03;0;0;0
169;HCHG11;Outros;84.74;3005.0;1.00;1.19;3.33;6.41;11.45;1.11;1.07;0.95;8.22;2.88;4.11;2.84;125.130.892.22;104.28;81.0;0.84;-0.48;0.36;13.39;0;0;0
170;HPDP11;Shoppings;84.00;6.0;0.45;0.51;1.61;3.25;6.38;0.54;0.54;0.53;4.32;7.25;7.80;9.88;276.087.778.59;94.91;89.0;0.47;-0.14;0.34;3.52;2.00;0;1
171;HLOG11;Logística;95.90;395.0;0.65;0.67;2.16;4.34;8.28;0.72;0.72;0.69;5.74;10.92;11.66;10.08;471.564.022.75;110.96;86.0;0.59;0.17;0.76;2.61;58.00;0.00;3
172;HGBS11;Shoppings;211.70;6901.0;1.30;0.60;2.13;4.14;7.72;0.71;0.69;0.64;5.52;18.35;19.06;36.02;2.163.189.609.42;216.32;98.0;0.60;0.05;0.66;4.63;6.50;0;17
173;CYCR11;Títulos e Val. Mob.;88.50;2019.0;1.00;1.08;3.27;7.09;0.00;1.09;1.18;0.00;9.38;-1.13;-0.06;1.25;156.199.659.14;95.73;92.0;1.07;-4.38;-3.35;5.47;0;0;0
174;HUSC11;Outros;111.00;21.0;0.96;0.91;2.84;5.35;8.48;0.95;0.89;0.71;6.18;2.97;3.90;0.49;113.468.692.97;142.80;78.0;0.67;0.01;0.68;3.36;0;0;0
175;CBOP11;Lajes Corporativas;61.86;134.0;0.49;0.81;3.30;5.67;13.62;1.10;0.95;1.13;7.15;-0.53;0.28;-10.99;108.207.198.31;76.47;81.0;0.64;-0.59;0.05;-11.39;33.59;30.79;1
176;TEPP11;Lajes Corporativas;83.18;4769.0;0.49;0.59;2.00;4.16;8.19;0.67;0.69;0.68;5.45;14.59;15.27;18.65;380.138.260.88;90.04;92.0;0.54;-0.14;0.41;2.17;9.06;18.03;5
177;BTSG11;Híbrido;0;0.0;0.87;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0;0.00;0.00;0.00;104.071.243.95;134.28;0;0.65;0.71;1.36;4.71;0;0;0
178;RZAG11;Títulos e Val. Mob.;10.56;178333.0;0.14;1.36;3.97;7.51;0.00;1.32;1.25;0.00;9.73;1.47;2.85;15.64;289.108.319.33;9.53;111.0;1.42;0.01;1.43;9.01;0;0;0
179;RZTR11;Híbrido;104.30;41824.0;1.25;1.20;3.67;7.30;14.18;1.22;1.22;1.18;9.73;3.12;4.36;10.57;1.087.758.184.80;98.46;106.0;1.27;0.26;1.53;6.12;0;0;10
180;TGAR11;Outros;128.00;19524.0;1.59;1.26;3.93;7.54;13.48;1.31;1.26;1.12;9.57;4.61;5.93;12.84;1.389.314.002.85;122.84;104.0;1.29;-1.25;0.02;0.70;0;0;0
181;KISU11;Títulos e Val. Mob.;8.25;75451.0;0.07;0.84;3.04;5.75;10.57;1.01;0.96;0.88;7.40;5.07;5.96;9.62;389.895.395.95;8.82;94.0;0.79;0.01;0.80;-0.77;0;0;0
182;BPFF11;Títulos e Val. Mob.;68.90;5601.0;0.70;0.99;3.38;6.47;11.78;1.13;1.08;0.98;8.27;7.38;8.44;11.76;341.048.446.43;75.92;91.0;0.99;-0.99;-0.02;1.94;0;0;0
183;XPPR11;Outros;47.82;10823.0;0.30;0.60;2.04;4.43;9.33;0.68;0.74;0.78;5.90;6.01;6.65;-17.12;559.121.903.64;76.42;63.0;0.46;-0.33;0.13;-3.07;46.00;0.00;4
184;SPTW11;Lajes Corporativas;43.25;3037.0;0.40;0.92;2.82;5.53;12.16;0.94;0.92;1.01;7.32;4.39;5.35;2.84;95.270.420.26;52.99;82.0;0.75;0.07;0.83;5.09;0.00;0;1
185;PATL11;Híbrido;79.85;4737.0;0.58;0.74;2.28;4.56;9.38;0.76;0.76;0.78;6.07;7.67;8.47;10.51;488.059.611.03;97.78;82.0;0.59;-0.09;0.50;4.01;0.00;0.00;4
186;XPCM11;Lajes Corporativas;16.48;29360.0;0.12;0.83;2.77;5.95;10.88;0.92;0.99;0.91;7.65;6.91;7.79;-17.98;127.310.569.38;52.73;31.0;0.23;-0.47;-0.25;-1.55;100.00;0;1
187;RBFF11;Títulos e Val. Mob.;57.08;2127.0;0.50;0.83;2.70;5.51;10.64;0.90;0.92;0.89;7.29;6.69;7.58;17.00;238.008.867.55;63.48;90.0;0.79;-0.33;0.46;2.43;0;0;0
188;JFLL11;Residencial;72.21;1367.0;0.62;0.79;2.65;5.13;10.15;0.88;0.85;0.85;6.74;17.35;18.28;6.08;150.564.588.39;100.34;72.0;0.62;0.03;0.65;4.66;28.00;0;2
189;HSLG11;Logística;96.86;4846.0;0.69;0.72;2.30;4.47;8.54;0.77;0.75;0.71;5.87;13.53;14.35;13.34;1.333.601.659.22;105.34;92.0;0.66;-0.10;0.55;-0.89;1.10;0;5
190;SDIL11;Logística;97.09;9041.0;0.76;0.78;2.50;5.00;10.15;0.83;0.83;0.85;6.73;11.38;12.24;21.14;633.720.641.28;99.10;98.0;0.77;-0.34;0.42;7.24;2.60;0;5
191;CXCO11;Lajes Corporativas;78.23;775.0;0.72;0.90;2.85;5.58;10.40;0.95;0.93;0.87;7.24;7.30;8.27;4.77;378.686.921.75;96.49;81.0;0.74;-0.06;0.68;5.53;0;0;0
192;HSRE11;Híbrido;101.00;12.0;0.63;0.63;1.82;3.50;7.22;0.61;0.58;0.60;4.62;0.00;0.63;4.69;818.368.632.20;96.07;105.0;0.66;0.02;0.68;3.65;0.00;0;29
193;PLRI11;Títulos e Val. Mob.;26.50;46.0;0.09;0.32;1.58;3.32;10.98;0.53;0.55;0.92;9.01;-0.78;-0.46;-19.36;33.283.579.71;34.88;76.0;0.71;-10.57;-9.93;-10.81;0;0;0
194;HSML11;Shoppings;90.32;38466.0;0.67;0.73;2.40;4.66;8.86;0.80;0.78;0.74;6.16;17.50;18.36;27.54;1.560.544.208.08;98.89;91.0;0.66;0.00;0.66;3.00;4.50;0;6
195;BCRI11;Títulos e Val. Mob.;104.03;5585.0;1.29;1.23;3.83;7.56;14.18;1.28;1.26;1.18;9.77;-2.27;-1.07;4.22;664.352.978.84;106.16;98.0;1.27;-0.76;0.50;7.27;0;0;0
196;SADI11;Títulos e Val. Mob.;89.98;2902.0;1.08;1.18;3.49;6.66;11.22;1.16;1.11;0.93;8.51;0.18;1.36;10.35;318.671.042.30;101.14;89.0;1.03;0.34;1.37;7.44;0;0;0
197;VSHO11;Shoppings;79.70;99.0;0.59;0.74;2.30;4.67;9.12;0.77;0.78;0.76;6.12;1.41;2.16;7.91;206.893.825.43;98.58;81.0;0.60;-0.08;0.52;1.43;12.96;0;3
198;RDPD11;Títulos e Val. Mob.;50.49;656.0;0.61;1.19;3.41;7.00;12.17;1.14;1.17;1.01;9.01;1.46;2.66;-0.99;58.853.145.42;54.59;92.0;1.12;-1.60;-0.50;0.20;0;0;0
199;RBVO11;Outros;10.65;634.0;0.04;0.37;1.02;1.58;3.76;0.34;0.26;0.31;2.49;-2.80;-2.44;-10.24;8.932.917.24;17.32;61.0;0.17;-19.74;-19.61;-23.15;0;0;0
200;GTWR11;Lajes Corporativas;81.90;7330.0;0.74;0.89;2.98;5.88;11.03;0.99;0.98;0.92;7.67;17.01;18.06;5.89;1.175.680.243.29;97.97;84.0;0.76;0.02;0.78;5.60;0.00;0.00;1
201;BBPO11;Lajes Corporativas;90.29;11974.0;0.92;1.03;3.29;6.39;12.07;1.10;1.07;1.01;8.32;12.97;14.13;3.84;1.593.557.059.28;100.10;90.0;0.92;-0.01;0.91;11.39;0.00;0.00;64
202;BBRC11;Outros;104.33;1209.0;0.99;0.94;2.94;5.85;11.26;0.98;0.98;0.94;7.70;7.14;8.15;13.02;169.963.038.66;106.89;98.0;0.93;0.10;1.03;5.61;5.37;1.08;20
203;VCRI11;Outros;8.99;31865.0;0.12;1.32;4.50;0.00;0.00;1.50;0.00;0.00;4.50;-2.88;-1.60;0.38;173.529.692.61;9.76;92.0;1.54;-0.90;0.62;-1.22;0;0;0
204;VIFI11;Títulos e Val. Mob.;7.50;81106.0;0.06;0.80;2.54;5.15;10.20;0.85;0.86;0.85;6.81;8.70;9.57;2.88;70.344.348.65;8.70;86.0;0.69;-0.48;0.21;-70.93;0;0;0
205;VINO11;Lajes Corporativas;48.70;30232.0;0.34;0.67;2.21;4.29;9.50;0.74;0.71;0.79;5.67;14.24;15.01;3.37;890.971.217.04;53.79;91.0;0.63;-0.40;0.23;1.38;4.20;0;9
206;VISC11;Shoppings;109.90;19480.0;0.72;0.64;2.04;4.10;8.06;0.68;0.68;0.67;5.46;11.47;12.18;18.15;2.030.121.088.07;114.72;96.0;0.62;-0.11;0.51;3.03;8.30;0;15
207;PATC11;Lajes Corporativas;71.99;5270.0;0.34;0.47;2.32;3.73;6.52;0.77;0.62;0.54;4.63;7.94;8.45;15.28;302.486.453.09;86.99;83.0;0.37;-0.20;0.17;3.03;21.90;18.90;6
208;TRXF11;Outros;112.38;22573.0;0.85;0.77;2.67;5.13;9.90;0.89;0.86;0.83;6.71;7.35;8.18;16.07;750.854.493.51;103.64;108.0;0.82;5.65;6.52;9.09;0.00;0;44
209;BBFO11;Títulos e Val. Mob.;77.61;1008.0;0.76;0.97;3.49;6.65;12.21;1.16;1.11;1.02;8.75;10.41;11.49;17.21;349.116.913.80;87.19;89.0;0.87;4.63;5.54;8.43;0;0;0
210;FPAB11;Lajes Corporativas;216.00;4.0;1.60;0.73;2.33;4.55;8.34;0.78;0.76;0.69;5.87;7.38;8.17;5.00;307.589.060.05;410.12;53.0;0.39;0.00;0.39;2.81;33.79;0;1
211;EURO11;Logística;235.55;28.0;1.75;0.69;2.35;4.72;9.59;0.78;0.79;0.80;6.45;24.95;25.81;35.23;119.976.841.02;312.49;75.0;0.56;0.00;0.56;4.10;0.00;0;6
212;BBIM11;Títulos e Val. Mob.;0;0.0;0.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0;0.00;0.00;0.00;44.788.663.66;43.27;0;0.42;-12.56;-12.20;-5.73;0;0;0
213;VLOL11;Lajes Corporativas;104.53;1518.0;0.59;0.56;1.70;3.50;6.67;0.57;0.58;0.56;4.61;7.64;8.24;18.16;184.957.924.24;103.63;101.0;0.57;0.08;0.65;2.89;0.00;0;1
214;NVIF11B;Outros;0;0.0;0.44;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0;0.00;0.00;0.00;88.395.166.22;261.99;0;0.17;1.36;1.53;3.64;0;0;0
215;AIEC11;Lajes Corporativas;78.34;12116.0;0.73;0.91;2.94;6.30;11.25;0.98;1.05;0.94;7.96;8.87;9.87;10.45;489.002.250.79;101.35;77.0;0.71;0.13;0.84;5.03;0.00;0;2
216;MFII11;Híbrido;96.32;2932.0;1.10;1.13;3.46;6.77;13.36;1.15;1.13;1.11;8.94;3.73;4.90;-3.39;416.830.531.97;100.52;96.0;1.09;0.39;1.49;-0.44;0;0;9
217;GALG11;Híbrido;9.69;44018.0;0.08;0.83;2.59;5.17;10.15;0.86;0.86;0.85;6.85;-89.30;-89.21;-89.47;581.475.469.89;101.15;10.0;0.81;-0.21;0.60;3.59;0.00;0.00;6
218;RFOF11;Títulos e Val. Mob.;74.86;2363.0;0.70;0.92;2.85;5.64;10.84;0.95;0.94;0.90;7.46;8.44;9.44;11.11;87.666.023.96;81.31;92.0;0.82;-1.02;-0.20;-1.36;0;0;0
219;RRCI11;Títulos e Val. Mob.;84.69;829.0;1.20;1.41;4.27;8.68;15.90;1.42;1.45;1.33;11.36;0.31;1.72;11.22;46.447.218.59;96.41;88.0;1.24;-0.64;0.59;8.33;0;0;0
220;RBLG11;Logística;93.50;1.0;0.88;0.93;2.77;5.50;10.70;0.92;0.92;0.89;6.42;8.73;9.75;15.56;66.897.594.99;104.50;89.0;0.77;1.72;2.50;3.30;0.00;0;1
221;QAGR11;Outros;46.73;8794.0;0.41;0.86;2.60;5.04;9.63;0.87;0.84;0.80;5.80;4.30;5.20;0.42;282.155.571.10;55.98;83.0;0.71;-6.21;-5.54;-3.78;0;0;12
222;HGIC11;Títulos e Val. Mob.;107.50;157.0;1.05;0.96;2.97;5.66;11.52;0.99;0.94;0.96;7.64;3.36;4.35;11.21;34.174.234.59;118.50;91.0;0.85;3.26;4.14;17.08;0;0;0
223;GGRC11;Logística;118.27;9623.0;0.90;0.75;2.43;4.92;9.35;0.81;0.82;0.78;6.48;14.38;15.24;10.10;1.004.288.062.75;129.44;91.0;0.66;-3.62;-2.98;2.72;0.00;0.00;20
224;CRFF11;Títulos e Val. Mob.;73.03;230.0;0.61;0.80;2.66;5.21;9.21;0.89;0.87;0.77;6.70;16.00;16.93;17.08;58.346.183.81;84.55;86.0;0.70;-0.29;0.41;3.28;0;0;0
225;CXRI11;Híbrido;69.21;215.0;0.55;0.79;2.67;5.14;9.39;0.89;0.86;0.78;6.66;10.91;11.78;8.29;129.809.519.46;82.38;84.0;0.67;-0.14;0.53;1.66;0;0;0
226;CXAG11;Outros;81.34;1165.0;0.75;0.94;3.04;5.96;0.00;1.01;0.99;0.00;6.95;2.69;3.66;11.95;239.969.301.40;114.78;71.0;0.65;12.00;12.73;15.17;0;0;0
227;SCPF11;Shoppings;6.87;175.0;0.01;0.16;0.93;1.54;3.44;0.31;0.26;0.29;2.33;28.65;28.85;-10.40;52.553.139.87;12.51;55.0;0.20;0.14;0.34;1.29;29.30;0;1
228;FLMA11;Híbrido;134.00;201.0;0.89;0.66;2.21;4.19;7.33;0.74;0.70;0.61;5.39;15.07;15.82;20.95;216.972.198.60;157.15;85.0;0.57;0.08;0.65;4.49;11.00;0;2
229;BREV11;Híbrido;106.15;10000.0;0.61;0.57;1.82;3.57;6.99;0.61;0.60;0.58;4.74;13.53;14.18;16.54;106.281.833.13;109.89;97.0;0.56;-0.03;0.52;3.71;0.00;0;12
230;FATN11;Híbrido;98.30;387.0;0.86;0.87;2.63;5.12;9.61;0.88;0.85;0.80;6.65;1.54;2.42;3.72;101.050.694.23;101.05;97.0;0.85;0.33;1.18;3.08;4.30;0;7
231;BIME11;Outros;9.34;6520.0;0.13;1.38;4.77;9.06;0.00;1.59;1.51;0.00;11.25;0.75;2.13;9.04;53.831.862.23;9.21;101.0;1.74;-2.68;-0.99;4.89;0;0;0
232;BLMR11;Títulos e Val. Mob.;7.74;64127.0;0.08;0.97;3.10;6.15;11.75;1.03;1.03;0.98;8.09;7.92;8.96;5.40;202.658.468.89;7.93;98.0;0.95;-1.16;-0.23;-0.11;0;0;0
233;MBRF11;Outros;682.00;273.0;10.00;1.47;4.83;9.39;16.78;1.61;1.57;1.40;13.33;14.77;16.46;-2.50;113.821.070.31;1.119.58;61.0;0.89;0.03;0.93;6.56;0.00;0;2
234;ONEF11;Lajes Corporativas;170.85;176.0;0.92;0.54;1.69;3.44;6.82;0.56;0.57;0.57;5.28;5.47;6.04;31.74;159.308.027.83;174.87;98.0;0.53;0.02;0.55;3.72;0.00;0;1
235;RCRB11;Lajes Corporativas;135.08;4976.0;0.72;0.52;1.67;3.16;6.43;0.56;0.53;0.54;4.44;11.55;12.13;10.90;718.842.771.51;194.77;69.0;0.37;0.04;0.41;1.25;28.40;0;10
236;JRDM11;Shoppings;86.00;319.0;0.62;0.72;2.11;3.83;8.08;0.70;0.64;0.67;4.38;8.09;8.86;21.24;220.883.480.71;87.55;98.0;0.56;0.15;0.72;2.22;2.77;0;1
237;HCTR11;Outros;105.66;61704.0;1.10;1.01;3.43;7.80;15.40;1.14;1.30;1.28;10.23;-2.85;-1.87;-3.14;2.678.908.802.75;121.30;87.0;1.03;-0.12;0.91;12.63;0;0;0
238;MGFF11;Títulos e Val. Mob.;66.77;17648.0;0.55;0.82;2.65;5.51;10.42;0.88;0.92;0.87;7.27;11.86;12.78;14.44;688.916.761.45;76.12;88.0;0.72;-2.28;-1.58;-0.88;0;0;0
239;SEQR11;Outros;66.20;6108.0;0.67;1.00;3.08;5.95;11.01;1.03;0.99;0.92;7.72;2.15;3.17;-0.56;154.662.909.56;96.15;69.0;0.69;-0.12;0.57;4.83;0.00;0;0
240;DEVA11;Títulos e Val. Mob.;96.34;26344.0;1.00;1.02;3.69;8.04;15.77;1.23;1.34;1.31;10.40;-0.61;0.40;5.05;1.374.940.910.92;98.88;97.0;1.26;0.27;1.53;12.43;0;0;0
241;GCRA11;Híbrido;101.43;1071.0;1.20;1.17;3.85;8.24;0.00;1.28;1.37;0.00;9.32;-0.61;0.55;7.76;156.409.799.12;98.82;103.0;1.26;0.34;1.61;9.62;0;0;0
